epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5757,1.85162,2.78376,1.00202,0.6978,0.41003,0.48814,0.25103,1.68909,1.93758,0.96799,0.000662281,0.000662281,0.000662281
2,89.7486,1.75535,1.67888,0.97279,0.67435,0.55017,0.60763,0.2891,1.69596,1.39721,0.96111,0.00131579,0.00131579,0.00131579
3,130.7,1.74322,1.42454,0.97861,0.71968,0.53254,0.60763,0.29689,1.68091,1.28386,0.96387,0.0019561,0.0019561,0.0019561
4,172.004,1.68574,1.2983,0.97131,0.72538,0.58778,0.66149,0.33695,1.61756,1.19071,0.94617,0.0019406,0.0019406,0.0019406
5,213.118,1.64134,1.18021,0.95127,0.76348,0.61716,0.70138,0.37997,1.53261,1.11777,0.93095,0.0019208,0.0019208,0.0019208
6,255.156,1.6187,1.15931,0.95172,0.75551,0.62196,0.68114,0.36337,1.55989,1.0486,0.93213,0.001901,0.001901,0.001901
7,296.998,1.59208,1.13867,0.94373,0.76777,0.66205,0.73655,0.40371,1.47345,1.01458,0.91952,0.0018812,0.0018812,0.0018812
8,337.762,1.56412,1.0999,0.93909,0.7995,0.68842,0.75828,0.43775,1.39523,0.94754,0.9087,0.0018614,0.0018614,0.0018614
9,378.53,1.54643,1.06119,0.93547,0.7949,0.66272,0.74992,0.43261,1.38364,0.93731,0.89718,0.0018416,0.0018416,0.0018416
10,422.34,1.50658,1.03722,0.92036,0.78782,0.68591,0.77195,0.44154,1.39085,0.97208,0.90511,0.0018218,0.0018218,0.0018218
11,464.475,1.48618,1.02649,0.91623,0.79839,0.68425,0.76589,0.4436,1.37126,0.96639,0.90221,0.001802,0.001802,0.001802
